Time (s),Emotion,Stress Level
0.23,Angry,2
0.34,Angry,2
0.43,Neutral,0
0.53,Angry,2
0.64,Neutral,0
0.74,Neutral,0
0.83,Angry,2
0.93,Neutral,0
1.03,Neutral,0
1.13,Angry,2
1.23,Angry,2
1.33,Neutral,0
1.43,Neutral,0
1.53,Neutral,0
1.63,Neutral,0
1.72,Neutral,0
1.82,Neutral,0
1.92,Angry,2
2.03,Happy,0
2.13,Angry,2
2.22,Angry,2
2.32,Angry,2
2.42,Angry,2
2.52,Angry,2
2.62,Angry,2
2.72,Neutral,0
2.82,Sad,2
2.92,Neutral,0
3.05,Angry,2
3.15,Neutral,0
3.25,Angry,2
3.35,Angry,2
3.45,Neutral,0
3.55,Angry,2
3.65,Neutral,0
3.75,Angry,2
3.85,Neutral,0
3.95,Angry,2
4.05,Neutral,0
4.15,Neutral,0
4.25,Neutral,0
4.35,Angry,2
4.45,Angry,2
4.55,Neutral,0
4.65,Angry,2
4.75,Neutral,0
4.85,Angry,2
4.95,Angry,2
5.05,Angry,2
5.15,Neutral,0
5.25,Neutral,0
5.35,Neutral,0
5.45,Happy,0
5.55,Angry,2
5.65,Happy,0
5.75,Happy,0
5.85,Happy,0
5.95,Neutral,0
6.05,Neutral,0
6.15,Neutral,0
6.25,Neutral,0
6.35,Neutral,0
6.45,Neutral,0
6.55,Neutral,0
6.65,Neutral,0
6.75,Neutral,0
6.85,Neutral,0
6.95,Neutral,0
7.05,Neutral,0
7.15,Neutral,0
7.25,Neutral,0
7.35,Neutral,0
7.45,Neutral,0
7.55,Neutral,0
7.65,Neutral,0
7.75,Neutral,0
7.85,Neutral,0
7.95,Neutral,0
8.05,Neutral,0
8.15,Neutral,0
8.25,Neutral,0
8.35,Neutral,0
8.45,Neutral,0
8.55,Neutral,0
8.65,Neutral,0
8.75,Neutral,0
8.85,Neutral,0
8.95,Neutral,0
9.05,Neutral,0
9.15,Neutral,0
9.25,Neutral,0
9.35,Neutral,0
9.45,Neutral,0
9.55,Happy,0
9.65,Happy,0
9.75,Neutral,0
9.86,Happy,0
9.95,Neutral,0
10.09,Neutral,0
